PLT_CN,CONDID,MOG
14547835020004,1,1
14547837020004,1,0
14547837020004,2,0
14547840020004,1,2
14547843020004,1,1
14547843020004,2,0
14547844020004,1,1
14547845020004,1,1
14547846020004,1,1
14547848020004,1,1
14547849020004,1,2
14547852020004,1,1
14547853020004,1,0
14547860020004,1,0
14547863020004,1,0
14547864020004,1,2
14547866020004,1,1
14547867020004,1,0
14547869020004,1,0
14547870020004,1,2
14547871020004,1,1
14547878020004,1,0
14547878020004,2,2
14547879020004,1,1
14547880020004,1,2
14547887020004,1,0
14547897020004,1,0
14547898020004,1,2
14547905020004,1,0
14547907020004,1,2
14547916020004,1,1
14547916020004,2,2
14547931020004,1,0
14547933020004,1,1
14547946020004,1,1
14547960020004,1,2
14547961020004,1,1
14547968020004,1,0
14547969020004,1,1
14547970020004,2,2
14547973020004,1,1
14547974020004,2,0
14547975020004,1,2
14547976020004,1,0
14547979020004,1,0
14547985020004,1,2
14547986020004,1,1
14547992020004,1,2
14547994020004,1,1
14547998020004,1,0
14547999020004,1,2
14548001020004,1,2
14548002020004,2,0
14548007020004,1,2
14548017020004,1,1
14548019020004,1,2
14548020020004,1,2
14548028020004,1,0
14548030020004,1,2
14548033020004,1,1
14548034020004,1,0
14548044020004,1,1
14548048020004,1,2
14548050020004,2,0
14548051020004,1,0
14548052020004,1,0
14548053020004,1,2
14548054020004,1,2
14548081020004,1,1
14548086020004,1,2
14548096020004,1,1
14548109020004,1,1
14548110020004,1,0
14548121020004,1,1
14548129020004,1,2
14548139020004,1,0
14548149020004,2,0
14548150020004,1,0
14548153020004,1,0
14548153020004,2,0
14548155020004,1,0
14548157020004,1,1
14548158020004,1,0
14548159020004,1,1
14548159020004,2,0
14548160020004,1,2
14548161020004,1,2
14548162020004,1,2
14548163020004,1,1
14548164020004,1,0
14548165020004,1,1
14548167020004,1,1
14548168020004,1,2
14548175020004,1,1
14548177020004,1,1
14548178020004,1,1
14548179020004,1,1
14548187020004,2,1
14548189020004,1,2
14548191020004,1,1
14548194020004,1,1
14548203020004,1,1
14548204020004,1,1
14548205020004,2,2
14548206020004,1,1
14548207020004,1,1
14548208020004,1,1
14548210020004,1,1
14548216020004,1,1
