EMAP_HEX,EPA2_code,NA_L2NAME
8016,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8017,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8018,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8019,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8020,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8021,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8022,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8023,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8024,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8025,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8026,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8027,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8028,9.5,TEXAS-LOUISIANA COASTAL PLAIN
8029,9.5,TEXAS-LOUISIANA COASTAL PLAIN
8030,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8117,5.2,MIXED WOOD SHIELD
8118,5.2,MIXED WOOD SHIELD
8119,5.2,MIXED WOOD SHIELD
8120,5.2,MIXED WOOD SHIELD
8121,5.2,MIXED WOOD SHIELD
8122,8.1,MIXED WOOD PLAINS
8134,8.2,CENTRAL USA PLAINS
8135,8.2,CENTRAL USA PLAINS
8136,8.2,CENTRAL USA PLAINS
8137,8.2,CENTRAL USA PLAINS
8138,8.2,CENTRAL USA PLAINS
8139,8.2,CENTRAL USA PLAINS
8140,8.2,CENTRAL USA PLAINS
8141,8.2,CENTRAL USA PLAINS
8142,8.2,CENTRAL USA PLAINS
8143,8.2,CENTRAL USA PLAINS
8144,8.2,CENTRAL USA PLAINS
8145,8.2,CENTRAL USA PLAINS
8146,8.2,CENTRAL USA PLAINS
8147,8.2,CENTRAL USA PLAINS
8148,8.3,SOUTHEASTERN USA PLAINS
8149,8.3,SOUTHEASTERN USA PLAINS
8150,8.3,SOUTHEASTERN USA PLAINS
8151,8.3,SOUTHEASTERN USA PLAINS
8152,8.3,SOUTHEASTERN USA PLAINS
8153,8.3,SOUTHEASTERN USA PLAINS
8154,8.3,SOUTHEASTERN USA PLAINS
8155,8.3,SOUTHEASTERN USA PLAINS
8156,8.3,SOUTHEASTERN USA PLAINS
8157,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8158,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8159,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8160,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8161,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8162,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8163,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8164,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8165,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8166,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8167,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8168,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8169,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8170,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8171,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8172,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8173,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8174,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8175,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8176,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8177,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8178,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8179,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8180,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8181,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8182,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8183,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8184,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
